word,gold_segmentation,gold_root_heuristic,stemmer_output,exact_match
পারছি,"পার+ছ+ি, পার+ছি",পার,পার,True
পারেই,পার+ে+ই,পার,পার,True
পারতেন,"পার+ত+ে+ন, পার+তে+ন",পার,পারত,False
পারদর্শী,পারদর্শী,পারদর্শী,পারদর্শী,True
পারলাম,"পার+ল+াম, পার+লাম",পার,পার,True
পারলেও,"পার+ল+ে+ও, পার+লে+ও",পার,পারল,False
পাঠানোটা,পাঠা+নো+টা,পাঠা,পাঠানো,False
পাড়াগঁায়ে,পাড়া+গঁা+য়ে,পাড়া,পাড়াগঁ,False
পাড়ের,পাড়+ের,পাড়,পাড়,True
পেঁৗছাতেই,পেঁৗছ+া+তে+ই,পেঁৗছ,পেঁৗছা,False
পেঁয়াজসহ,পেঁয়াজ+সহ,পেঁয়াজ,পেঁয়াজসহ,False
পেছনে,পেছন+ে,পেছন,পেছনে,False
পেইন্টিং,পেইন্ট+িং,পেইন্ট,পেইন্টিং,False
পেনাল্টিকে,পেনাল্টি+কে,পেনাল্টি,পেনাল্,False
পেরেছিল,"1 পের+ে+ছিল, পের+ে+ছি+ল, পার+ে+ছিল, পার+ে+ছি+ল",1 পের,পার,False
পেশাতেই,পেশা+তে+ই,পেশা,পেশা,True
পেশার,পেশা+র,পেশা,পেশা,True
পেটের,পেট+ের,পেট,পেট,True
পিছুটান,পিছু+টান,পিছু,পিছুটান,False
পিছল,পিছল,পিছল,পিছল,True
পিজাকে,পিজা+কে,পিজা,পিজা,True
পিসি,পিসি,পিসি,পিসি,True
পিতা,পিতা,পিতা,পিতা,True
পিতৃপুরুষের,পিতৃ+পুরুষ+ের,পিতৃ,পিতৃপুরুষ,False
পিওন,পিওন,পিওন,পিওন,True
পিয়া,পিয়া,পিয়া,পিয়া,True
পোষালে,"পোষ+া+লে, পোষ+া+ল+ে",পোষ,পোষাল,False
পৃষ্ঠা,পৃষ্ঠা,পৃষ্ঠা,পৃষ্ঠা,True
পৃষ্ঠপোষকতায়,পৃষ্ঠ+পোষ+ক+তা+য়,পৃষ্ঠ,পৃষ্ঠপোষকতায়,False
পৃথককরণে,পৃথক+করণ+ে,পৃথক,পৃথককরণ,False
পত্তন,পত্তন,পত্তন,পত্তন,True
পত্র,পত্র,পত্র,পত্র,True
পত্রপত্রিকায়,"পত্র+পত্রিকা+য়, পত্র+পত্র+িকা+য়",পত্র,পত্রপত্রিকায়,False
পুঁজিটাও,পুঁজি+টা+ও,পুঁজি,পুঁজি,True
পুতে,পুতে,পুতে,পুত,False
পুতুলনাচের,পুতুল+নাচ+ের,পুতুল,পুতুলনাচ,False
পুকুরটিও,পুকুর+টি+ও,পুকুর,পুকুর,True
পুলিশপ্রধান,পুলিশ+প্রধান,পুলিশ,পুলিশপ্রধান,False
পুনঃউদ্বুদ্ধকরণ,পুনঃ+উদ্বুদ্ধ+করণ,পুনঃ,পুনঃউদ্বুদ্ধকরণ,False
পুনচ,পুনচ,পুনচ,পুনচ,True
পুনর্জন্ম,পুনর্+জন্ম,পুনর্,পুনর্জন্ম,False
পুরেছে,"পুর+ে+ছে, পুর+ে+ছ+ে",পুর,পুর,True
পূজা,পূজা,পূজা,পূজা,True
পঞ্চম,পঞ্চ+ম,পঞ্চ,পঞ্চম,False
পদমর্যাদার,পদ+মর্যাদা+র,পদ,পদমর্যাদা,False
পদপ্রার্থী,পদ+প্রার্থী,পদ,পদপ্রার্থী,False
পদ্ধতি,পদ্ধতি,পদ্ধতি,পদ্ধতি,True
পদ্মা,পদ্মা,পদ্মা,পদ্মা,True
পদ্মপুকুরে,পদ্ম+পুকুর+ে,পদ্ম,পদ্মপুকুর,False
পথচলা,পথ+চলা,পথ,পথচলা,False
পথপ্রদর্শকও,পথ+প্রদর্শক+ও,পথ,পথপ্রদর্শক,False
পক্ষ,পক্ষ,পক্ষ,পক্ষ,True
পক্ষের,পক্ষ+ের,পক্ষ,পক্ষ,True
পলিপাড়া,পলি+পাড়া,পলি,পলিপাড়া,False
পলিটিক্সের,পলিটিক্স+ের,পলিটিক্স,পলিটিক্স,True
পল্লীতে,পল্লী+তে,পল্লী,পল্লী,True
পল্লবিত,পল্লব+িত,পল্লব,পল্লবিত,False
পরাজয়ের,পরা+জয়+ের,জয়,জয়,True
পরাস্ত,পরাস্ত,পরাস্ত,স্ত,False
পরিধান,পরিধান,পরিধান,ধান,False
পরিস্রুত,পরি+স্রুত,স্রুত,স্রুত,True
পরিবারকে,পরিবার+কে,পরিবার,বা,False
পরিবেশিত,পরিবেশ+িত,পরিবেশ,বেশিত,False
পরিবেশনাকে,পরিবেশ+না+কে,পরিবেশ,বেশনা,False
পরিবর্তনে,পরিবর্তন+ে,পরিবর্তন,পরিবর্তন,True
পরিচালকমণ্ডলীর,পরি+চালক+মণ্ডলী+র,চালক,চালকমণ্ডলীর,False
পরিচ্ছন্ন,"পরিচ্ছন্ন, পরি+চ্ছন্ন",পরিচ্ছন্ন,চ্ছন্ন,False
পরিদর্শনসহ,পরি+দর্শন+সহ,দর্শন,দর্শনসহ,False
পরিমার্জন,পরি+মার্জন,মার্জন,মার্জন,True
পরিপূর্ণতা,পরি+পূর্ণ+তা,পূর্ণ,পূর্ণতা,False
পরম্পরার,পরম্পরা+র,পরম্পরা,পরম্পরা,True
পরও,পর+ও,পর,পর,True
পররাষ্ট্রমন্ত্রীদের,পর+রাষ্ট্র+মন্ত্রী+দের,পর,পররাষ্ট্রমন্ত্রী,False
পরশ্রীকাতরতা,পর+শ্রী+কাতর+তা,পর,পরশ্রীকাতরতা,False
পর্ব,পর্ব,পর্ব,পর্ব,True
পর্বেই,পর্ব+ে+ই,পর্ব,পর্ব,True
পর্যবেক্ষণকে,পর্যবেক্ষণ+কে,পর্যবেক্ষণ,পর্যবেক্ষণ,True
পর্যটকশূন্য,পর্যটক+শূন্য,পর্যটক,পর্যটকশূন্য,False
পশু,পশু,পশু,পশু,True
পশ্চিম,পশ্চিম,পশ্চিম,পশ্চিম,True
পশ্চিমবঙ্গ,পশ্চিম+বঙ্গ,পশ্চিম,পশ্চিমবঙ্গ,False
পট্টির,পট্টি+র,পট্টি,পট্,False
পড়াচ্ছেন,"পড়+া+চ্ছে+ন, পড়+া+চ্ছ+ে+ন",পড়,পড়,True
পড়াশোনা,পড়+া+শোন+া,পড়,পড়াশোনা,False
পড়ছেন,"পড়+ছে+ন, পড়+ছ+ে+ন",পড়,পড়,True
প্ল্যাটফরমে,প্ল্যাটফরম+ে,প্ল্যাটফরম,প্ল্যাটফরম,True
প্রাধ্যক্ষদের,প্রাধ্যক্ষ+দের,প্রাধ্যক্ষ,প্রাধ্যক্ষ,True
প্রাবন্ধিক,"1 প্রাবন্ধ+িক, প্রবন্ধ+িক",1 প্রাবন্ধ,প্রাবন্ধিক,False
প্রাচীর,প্রাচীর,প্রাচীর,প্রাচীর,True
প্রাক,প্রাক,প্রাক,প্রাক,True
প্রাক্তন,প্রাক্তন,প্রাক্তন,প্রাক্তন,True
প্রাঙ্গণ,প্রাঙ্গণ,প্রাঙ্গণ,প্রাঙ্গণ,True
প্রাঙ্গণে,প্রাঙ্গণ+ে,প্রাঙ্গণ,প্রাঙ্গণ,True
প্রভাবও,প্রভাব+ও,প্রভাব,প্রভাব,True
প্রধানমন্ত্রীকে,প্রধান+মন্ত্রী+কে,প্রধান,প্রধানমন্ত্রী,False
প্রেসকে,প্রেস+কে,প্রেস,প্রেস,True
প্রিয়,প্রিয়,প্রিয়,প্রিয়,True
প্রোডাক্ট,প্রোডাক্ট,প্রোডাক্ট,প্রোডাক্ট,True
প্রসঙ্গে,প্রসঙ্গ+ে,প্রসঙ্গ,প্রসঙ্গ,True
প্রস্তুত,প্রস্তুত,প্রস্তুত,প্রস্তুত,True
প্রতীয়মান,প্রতীয়+মান,প্রতীয়,প্রতীয়,True
প্রতাপের,প্রতাপ+ের,প্রতাপ,প্রতাপ,True
প্রতারণার,প্রতারণ+া+র,প্রতারণ,প্রতারণার,False
প্রতিফলন,"প্রতিফলন, প্রতি+ফলন",প্রতিফলন,ফলন,False
প্রতিস্থাপন,প্রতি+স্থাপন,স্থাপন,স্থাপন,True
প্রতিবাদী,প্রতিবাদ+ী,প্রতিবাদ,বাদী,False
প্রতিবাদের,প্রতিবাদ+ের,প্রতিবাদ,বা,False
প্রতিবেদককে,প্রতিবেদক+কে,প্রতিবেদক,বেদক,False
প্রতিবেদনটিও,প্রতিবেদন+টি+ও,প্রতিবেদন,বেদন,False
প্রতিবন্ধীরা,প্রতি+বন্ধ+ী+রা,বন্ধ,বন্ধী,False
প্রতিবন্ধিতা,"1 প্রতি+বন্ধ+ি+তা, প্রতি+বন্ধ+ী+তা",1 প্রতি,বন্ধিতা,False
প্রতিবন্ধকতা,প্রতি+বন্ধ+ক+তা,বন্ধ,বন্ধকতা,False
প্রতিদিন,প্রতি+দিন,দিন,দিন,True
প্রতিনিধি,প্রতিনিধি,প্রতিনিধি,নিধি,False
প্রতিপক্ষ,প্রতি+পক্ষ,পক্ষ,পক্ষ,True
প্রতিপক্ষদের,প্রতি+পক্ষ+দের,পক্ষ,পক্ষ,True
প্রতিরোধের,প্রতি+রোধ+ের,রোধ,রোধ,True
প্রতিশোধও,প্রতি+শোধ+ও,শোধ,শোধ,True
প্রতিশব্দ,প্রতি+শব্দ,শব্দ,শব্দ,True
প্রত্যাহারেরও,প্রত্যাহার+ের+ও,প্রত্যাহার,প্রত্যাহার,True
প্রত্যেকটির,প্রত্যেক+টি+র,প্রত্যেক,প্রত্যেক,True
প্রত্যক্ষভাবে,প্রত্যক্ষ+ভাব+ে,প্রত্যক্ষ,প্রত্যক্ষভাব,False
প্রত্যক্ষদর্শীর,প্রত্যক্ষ+দর্শ+ী+র,প্রত্যক্ষ,প্রত্যক্ষদর্শীর,False
প্রবীণ,প্রবীণ,প্রবীণ,প্রবীণ,True
প্রবেশ,প্রবেশ,প্রবেশ,প্রবেশ,True
প্রবেশমূল্য,প্রবেশ+মূল্য,প্রবেশ,প্রবেশমূল্য,False
প্রবর্তনেরই,প্রবর্তন+ের+ই,প্রবর্তন,প্রবর্তন,True
প্রচুর,প্রচুর,প্রচুর,প্রচুর,True
প্রচ্ছদে,প্রচ্ছদ+ে,প্রচ্ছদ,প্রচ্ছদ,True
প্রদান,প্রদান,প্রদান,প্রদান,True
প্রদানকারীকে,প্রদান+কার+ী+কে,প্রদান,প্রদানকারী,False
প্রথমসারিতে,প্রথম+সারি+তে,প্রথম,প্রথমসারি,False
প্রহরীটি,প্রহরী+টি,প্রহরী,প্রহরী,True
প্রযোজ্য,প্রযোজ্য,প্রযোজ্য,প্রযোজ্য,True
প্রকাশনা,প্রকাশ+ন+া,প্রকাশ,প্রকাশনা,False
প্রক্রিয়াটি,প্রক্রিয়া+টি,প্রক্রিয়া,প্রক্রিয়া,True
প্রমাণে,প্রমাণ+ে,প্রমাণ,প্রমাণ,True
প্রমাণটা,প্রমাণ+টা,প্রমাণ,প্রমাণ,True
প্রশাসনহীনতা,"প্রশাসন+হীন+তা, প্র+শাসন+হীন+তা",প্রশাসন,প্রশাসনহীনতা,False
প্রশাসনযন্ত্রগুলোর,"প্রশাসন+যন্ত্র+গুলো+র, প্র+শাসন+যন্ত্র+গুলো+র",প্রশাসন,প্রশাসনযন্ত্র,False
প্রশিক্ষণার্থীর,"1 প্র+শিক্ষণ+ার্থী+র, প্র+শিক্ষণ+আর্থী+র",1 প্র,প্রশিক্ষণার্থীর,False
প্রশিক্ষণে,প্র+শিক্ষণ+ে,প্র,প্রশিক্ষণ,False
প্রশিক্ষণের,প্র+শিক্ষণ+ের,প্র,প্রশিক্ষণ,False
প্রশিক্ষণপ্রাপ্ত,প্র+শিক্ষণ+প্রাপ্ত,প্র,প্রশিক্ষণপ্রাপ্ত,False
প্রশস্তকরণে,প্রশস্ত+করণ+ে,প্রশস্ত,প্রশস্তকরণ,False
প্রশমনেও,প্রশমন+ে+ও,প্রশমন,প্রশমন,True
প্রয়াণ,প্রয়াণ,প্রয়াণ,প্রয়াণ,True
রীতি,রীতি,রীতি,রীতি,True
রাষ্ট্রধর্ম,রাষ্ট্র+ধর্ম,রাষ্ট্র,রাষ্ট্রধর্ম,False
রাষ্ট্রব্যবস্থার,রাষ্ট্র+ব্যবস্থা+র,রাষ্ট্র,রাষ্ট্রব্যবস্থা,False
রাজনীতিসচেতন,রাজনীতি+সচেতন,রাজনীতি,রাজনীতিসচেতন,False
রাখছে,"রাখ+ছ+ে, রাখ+ছে",রাখ,রাখ,True
রাখছেন,"রাখ+ছেন, রাখ+ছে+ন, রাখ+ছ+ে+ন",রাখ,রাখ,True
রাখে,রাখ+ে,রাখ,রাখ,True
রাখেন,রাখ+ে+ন,রাখ,রাখ,True
রাস্তাঘাট,রাস্তা+ঘাট,রাস্তা,রাস্তাঘাট,False
রাগত,রাগত,রাগত,রাগত,True
রান,রান,রান,রান,True
রেখা,রেখা,রেখা,রেখা,True
রেখেছিল,"রেখ+ে+ছি+ল, রেখ+ে+ছ+ি+ল",রেখ,রাখ,False
রেকর্ডটাকে,রেকর্ড+টা+কে,রেকর্ড,রেকর্ড,True
রেলস্টেশনে,রেল+স্টেশন+ে,রেল,রেলস্টেশনে,False
রেলওয়ের,রেল+ওয়ে+র,রেল,রেলওয়,False
রেশনিং,রেশন+িং,রেশন,রেশনিং,False
রঘুনন্দন,রঘু+নন্দন,রঘু,রঘুনন্দন,False
রিপোর্টেও,রিপোর্ট+ে+ও,রিপোর্ট,রিপোর্ট,True
রজতজয়ন্তী,রজত+জয়ন্তী,রজত,রজতজয়ন্তী,False
রোববার,রোব+বার,রোব,রোববা,False
রোদন,রোদ+ন,রোদ,রোদন,False
রোগে,রোগ+ে,রোগ,রোগ,True
রফা,রফা,রফা,রফা,True
রচনাসম্ভার,রচনা+সম্ভার,রচনা,রচনাসম্ভা,False
রচনার,রচনা+র,রচনা,রচনা,True
রহস্যময়,রহস্য+ময়,রহস্য,রহস্যময়,False
রক্ষা,রক্ষা,রক্ষা,রক্ষা,True
রশিতে,রশি+তে,রশি,রশি,True
শীতাতপনিয়ন্ত্রণ,শীতাতপ+নিয়ন্ত্রণ,শীতাতপ,শীতাতপনিয়ন্ত্রণ,False
শীর্ষ,শীর্ষ,শীর্ষ,শীর্ষ,True
শাসকদল,শাসক+দল,শাসক,শাসকদল,False
শাসন,শাসন,শাসন,শাসন,True
শান্তিপূর্ণ,শান্ত+ি+পূর্ণ,শান্ত,শান্তিপূর্ণ,False
শাড়িটির,শাড়ি+টি+র,শাড়ি,শাড়ি,True
শেভ,শেভ,শেভ,শেভ,True
শেষে,শেষ+ে,শেষ,শেষে,False
শেষোক্তদের,"1 শেষ+োক্ত+দের, শেষ+উক্ত+দের",1 শেষ,শেষোক্ত,False
শেয়ারধারক,শেয়ার+ধারক,শেয়ার,শেয়ারধারক,False
শিষ্টাচারের,"1 শিষ্ট+াচার+ের, শিষ্ট+আচার+ের",1 শিষ্ট,শিষ্টাচার,False
শিখাটাকেও,শিখা+টা+কে+ও,শিখা,শিখা,True
শিখে,শিখ+ে,শিখ,শিখ,True
শিকল,শিকল,শিকল,শিকল,True
শিক্ষাক্রম,শিক্ষা+ক্রম,শিক্ষা,শিক্ষাক্রম,False
শিক্ষাপ্রতিষ্ঠানসমূহে,শিক্ষা+প্রতিষ্ঠান+সমূহ+ে,শিক্ষা,শিক্ষাপ্রতিষ্ঠানসমূহ,False
শিক্ষিকা,শিক্ষিকা,শিক্ষিকা,শিক্ষিকা,True
শিক্ষকও,শিক্ষক+ও,শিক্ষক,শিক্ষক,True
শিল্পাঞ্চল,"শিল্প+াঞ্চল, শিল্প+অঞ্চল",শিল্প,শিল্পাঞ্চল,False
শিল্পাঙ্গনের,"শিল্প+াঙ্গন+ের, শিল্প+অঙ্গন+ের",শিল্প,শিল্পাঙ্গন,False
শিপিংয়ের,শিপ+িং+য়ের,শিপ,শিপিংয়,False
শিশুসুলভ,শিশু+সুলভ,শিশু,শিশুসুলভ,False
শিশুপুত্রসহ,শিশু+পুত্র+সহ,শিশু,শিশুপুত্রসহ,False
শিশুটিকে,শিশু+টি+কে,শিশু,শিশু,True
শিশুটির,শিশু+টি+র,শিশু,শিশু,True
শোধরাতে,শোধরা+তে,শোধরা,শোধরা,True
শোরুমের,শো+রুম+ের,শো,শোরুম,False
শোরগোল,শোর+গোল,শোর,শোরগোল,False
শৃঙ্খলাপরিপন্থী,শৃঙ্খলা+পরি+পন্থী,শৃঙ্খলা,শৃঙ্খলাপরিপন্থী,False
শতকোটি,শত+কোটি,শত,শতকো,False
শুধু,শুধু,শুধু,শুধু,True
শুষ্ক,শুষ্ক,শুষ্ক,শুষ্ক,True
শুতে,শু+তে,শু,শুত,False
শুকরিয়া,শুকরিয়া,শুকরিয়া,শুকরিয়া,True
শুল্ক,শুল্ক,শুল্ক,শুল্ক,True
শুনানিতে,শুনানি+তে,শুনানি,শুনানি,True
শুনানিকালে,শুনানি+কাল+ে,শুনানি,শুনানিকাল,False
শুনেন,শুন+ে+ন,শুন,শুন,True
শুন্য,শুন্য,শুন্য,শুন্য,True
শূন্যের,শূন্য+ের,শূন্য,শূন্য,True
শহরগুলোয়,শহর+গুলো+য়,শহর,শহরগুলোয়,False
শহরটিতে,শহর+টি+তে,শহর,শহর,True
শপিং,শপ+িং,শপ,শপিং,False
শরীরই,শরীর+ই,শরীর,শরীর,True
শরণার্থীর,শরণার্থী+র,শরণার্থী,শরণার্থীর,False
শরতের,শরত+ের,শরত,শরত,True
শ্যামা,শ্যাম+া,শ্যাম,শ্যামা,False
শ্লীলতাহানী,শ্লীল+তা+হানী,শ্লীল,শ্লীলতাহানী,False
শ্রদ্ধার,শ্রদ্ধা+র,শ্রদ্ধা,শ্রদ্ধা,True
শ্রদ্ধাশীল,শ্রদ্ধা+শীল,শ্রদ্ধা,শ্রদ্ধা,True
শ্রমঘণ্টা,শ্রম+ঘণ্টা,শ্রম,শ্রমঘণ্,False
টাইব্রেকের,টাই+ব্রেক+ের,টাই,টাইব্রেক,False
টাইগারের,টাইগার+ের,টাইগার,টাইগার,True
টাকা,টাকা,টাকা,টাকা,True
টাকাতে, টাকা+তে,টাকা,টাকা,True
টানতেই,টান+তে+ই,টান,টান,True
টাওয়ারের,টাওয়ার+ের,টাওয়ার,টাওয়ার,True
টার্গেট,টার্গেট,টার্গেট,টার্গেট,True
টার্নে,টার্ন+ে,টার্ন,টার্ন,True
টার্নিংয়ের,টার্ন+িং+য়ের,টার্ন,টার্নিংয়,False
টেকনিকেও,টেকনিক+ে+ও,টেকনিক,টেকনি,False
টেলিভিশনের,টেলিভিশন+ের,টেলিভিশন,টেলিভিশন,True
টেলিফিল্ম,টেলি+ফিল্ম,টেলি,টেলিফিল্ম,False
টেলিযোগাযোগ,টেলি+যোগাযোগ,টেলি,টেলিযোগাযোগ,False
টেনিস,টেনিস,টেনিস,টেন,False
টিনের,টিন+ের,টিন,টিন,True
টিনশেড,টিন+শেড,টিন,টিনশেড,False
টুতে,টু+তে,টু,টুত,False
টু্যরিস্ট,টু্যর+িস্ট,টু্যর,টু্যরিস্ট,False
টগবগেই,টগবগ+ে+ই,টগবগ,টগবগ,True
টর্নেডোর,টর্নেডো+র,টর্নেডো,টর্নেডোর,False
ট্যাক্স,ট্যাক্স,ট্যাক্স,ট্যাক্স,True
ট্যাঙ্কারে,ট্যাঙ্ক+ার+ে,ট্যাঙ্ক,ট্যাঙ্কা,False
ট্রেন,ট্রেন,ট্রেন,ট্র,False
উধাও,উধাও,উধাও,উধা,False
উষ্না,উষ্না,উষ্না,উষ্না,True
উত্সাহব্যঞ্জক,উত্সাহ+ব্যঞ্জক,উত্সাহ,উত্সাহব্যঞ্জক,False
উত্তীর্ণসহ,উত্তীর্ণ+সহ,উত্তীর্ণ,উত্তীর্ণসহ,False
উত্তেজনাও,উত্তেজনা+ও,উত্তেজনা,উত্তেজনা,True
উত্তোলনের,উত্তোলন+ের,উত্তোলন,উত্তোলন,True
উত্তরসূরিকে,উত্তর+সূরি+কে,উত্তর,উত্তরসূরি,False
উত্তরবঙ্গনির্ভর,উত্তর+বঙ্গ+নির্ভর,উত্তর,উত্তরবঙ্গনির্ভর,False
উত্তরটাকেও,উত্তর+টা+কে+ও,উত্তর,উত্তর,True
উত্থাপন,উত্থাপন,উত্থাপন,উত্থাপন,True
উত্থিত,উত্থিত,উত্থিত,উত্থিত,True
উত্কণ্ঠা,উত্কণ্ঠা,উত্কণ্ঠা,উত্কণ্ঠা,True
উত্কণ্ঠার,উত্কণ্ঠা+র,উত্কণ্ঠা,উত্কণ্ঠা,True
উচিত,উচিত,উচিত,উচিত,True
উচ্চারণ,উচ্চারণ,উচ্চারণ,উচ্চারণ,True
উচ্চমহলে,উচ্চ+মহল+ে,উচ্চ,উচ্চমহল,False
উহ্য,উহ্য,উহ্য,উহ্য,True
উইকেট,উইকেট,উইকেট,উইকেট,True
উনাকে,উনা+কে,উনা,উনা,True
উন্নয়নসাধন,উন্নয়ন+সাধন,উন্নয়ন,উন্নয়নসাধন,False
উপায়ও,উপায়+ও,উপায়,উপায়,True
উপজাতিকে,উপ+জাতি+কে,জাতি,জাতি,True
উপজেলাবাসীর,উপ+জেলা+বাস+ী+র,জেলা,জেলাবাসীর,False
উপবনের,উপ+বন+ের,বন,বন,True
উপদেষ্টা,উপদেষ্টা,উপদেষ্টা,দেষ্,False
উপদ্রবে,উপদ্রব+ে,উপদ্রব,দ্র,False
উপকার,উপকার,উপকার,কা,False
উপকেন্দ্রের,উপ+কেন্দ্র+ের,কেন্দ্র,কেন্দ্র,True
উপলব্ধিতে,উপলব্ধি+তে,উপলব্ধি,লব্ধি,False
উরদুতে,উরদু+তে,উরদু,উরদু,True
উর্দুকে,উর্দু+কে,উর্দু,উর্দু,True
উঠেছেন,"উঠ+ে+ছে+ন, উঠ+ে+ছ+ে+ন",উঠ,উঠ,True
উঠলেন,উঠ+ল+ে+ন,উঠ,উঠ,True
উড়োচিঠি,উড়ো+চিঠি,উড়ো,উড়োচিঠি,False
ঝামেলা,ঝামেলা,ঝামেলা,ঝামেলা,True
ঝোপঘেরা,ঝোপ+ঘের+া,ঝোপ,ঝোপঘ,False
ঝুলিয়েছে,"ঝুল+িয়ে+ছে, ঝুল+িয়ে+ছ+ে",ঝুল,ঝুল,True
ঝলসে,ঝলসে,ঝলসে,ঝলস,False
ঝড়ের,ঝড়+ের,ঝড়,ঝড়,True
ঠিকানাতেই,ঠিকানা+তে+ই,ঠিকানা,ঠিকানা,True
ঠুকে,ঠুক+ে,ঠুক,ঠুক,True
ঈদেই,ঈদ+ে+ই,ঈদ,ঈদ,True
ঈদমেলা,ঈদ+মেলা,ঈদ,ঈদমেলা,False
ঊধ্বসীমা,ঊধ্ব+সীমা,ঊধ্ব,ঊধ্বসীমা,False
ঊষা,ঊষা,ঊষা,ঊষা,True
ঋতুবৈচিত্র্যে,ঋতু+বৈচিত্র্য+ে,ঋতু,ঋতুবৈচিত্র্য,False
ঔজ্জ্বল্যে,ঔজ্জ্বল্য+ে,ঔজ্জ্বল্য,ঔজ্জ্বল্য,True
আধিক্যই,আধিক্য+ই,আধিক্য,আধিক্য,True
আঘাতকে,আঘাত+কে,আঘাত,আঘাত,True
আঘাতপ্রাপ্ত,আঘাত+প্রাপ্ত,আঘাত,আঘাতপ্রাপ্ত,False
আজন্ম,আ+জন্ম,আ,আজন্ম,False
আজ্ঞাবহ,আজ্ঞা+বহ,আজ্ঞা,আজ্ঞাবহ,False
আসামিদেরও,আসামি+দের+ও,আসামি,আসামি,True
আসছেঅর্থের,"আস+ছে+অর্থ+ের, আস+ছ+ে+অর্থ+ের",আস,আসছেঅর্থ,False
আসছেন,"আস+ছে+ন, আস+ছ+ে+ন",আস,আস,True
আসতেই,"আস+তে+ই, আস+ত+ে+ই",আস,আস,True
আসবাবপত্রও,আসবাব+পত্র+ও,আসবাব,আসবাবপত্র,False
আসবে,"আস+ব+ে, আস+বে",আস,আসব,False
আসক্তির,আসক্ত+ি+র,আসক্ত,আসক্তি,False
আসনও,আসন+ও,আসন,আসন,True
আস্তানা,আস্তানা,আস্তানা,আস্তানা,True
আস্থানায়,আস্থানা+য়,আস্থানা,আস্থানায়,False
আত্মজীবনী,আত্ম+জীবন+ী,আত্ম,আত্মজীবনী,False
আত্মগোপনকারী,আত্ম+গোপন+কার+ী,আত্ম,আত্মগোপনকারী,False
আত্মনির্ভর,আত্ম+নির্ভর,আত্ম,আত্মনির্ভর,False
আত্মনিয়ন্ত্রণ,আত্ম+নিয়ন্ত্রণ,আত্ম,আত্মনিয়ন্ত্রণ,False
আত্মপ্রতিকৃতি,আত্ম+প্রতিকৃতি,আত্ম,আত্মপ্রতিকৃতি,False
আঞ্চলিকতার,আঞ্চল+িক+তা+র,আঞ্চল,আঞ্চলিকতা,False
আবহ,আবহ,আবহ,আবহ,True
আবর্তে,আবর্ত+ে,আবর্ত,আবর্,False
আদালত,আদালত,আদালত,আদালত,True
আদালতেই,আদালত+ে+ই,আদালত,আদাল,False
আদায়,আদায়,আদায়,আদায়,True
আদেশ,আদেশ,আদেশ,আদেশ,True
আদর্শে,আদর্শ+ে,আদর্শ,আদর্শ,True
আগামীর,আ+গামী+র,আ,আগামীর,False
আহরণের,আহরণ+ের,আহরণ,আহরণ,True
আইসক্রিমগুলোর,আইস+ক্রিম+গুলো+র,আইস,আইসক্রিম,False
আইলে,আইল+ে,আইল,আইল,True
আইনানুযায়ী,"1 আইন+অনুযায়ী, আইন+ানুযায়ী",1 আইন,আইনানুযায়ী,False
আইনসচিব,আইন+সচিব,আইন,আইনসচিব,False
আকণ্ঠ,আ+কণ্ঠ,আ,আকণ্ঠ,False
আকস্নিকভাবেই,আকস্নিক+ভাব+ে+ই,আকস্নিক,আকস্নিকভাব,False
আলাপচারিতার,আলাপ+চারিতা+র,আলাপ,আলাপচারিতার,False
আলোকবালি,আলোক+বালি,আলোক,আলোকবা,False
আমাদেরটার,আমা+দের+টা+র,আমা,আমাদ,False
আমার,আমা+র,আমা,আমার,False
আমেজে,আমেজ+ে,আমেজ,আমেজ,True
আমদানিসহ,আমদানি+সহ,আমদানি,আমদানিসহ,False
আমদানিকারকের,আমদানি+কার+ক+ের,আমদানি,আমদানিকারক,False
আমদানিকারকও,আমদানি+কার+ক+ও,আমদানি,আমদানিকারক,False
আনুমানিকভাবে,1 আনুমান+িক+ভাব+ে,1 আনুমান,আনুমানিকভাব,False
আনুপাতিকভাবে,1 আনুপাত+িক+ভাব+ে,1 আনুপাত,আনুপাতিকভাব,False
আনন্দের,আনন্দ+ের,আনন্দ,আনন্,False
আনন্দমুখর,আনন্দ+মুখ+র,আনন্দ,আনন্দমুখর,False
আন্তসরকার, আন্ত+সরকার,আন্ত,আন্তসরকা,False
আন্তর্জাতিকমানের,আন্তর্+জাত+িক+মান+ের,আন্তর্,আন্তর্জাতিক,False
আন্ডারস্ট্যান্ডিংয়ের,আন্ডার+স্ট্যান্ড+িং+য়ে+র,আন্ডার,আন্ডারস্ট্যান্ডিংয়,False
আন্ডারওয়াল্ডের,আন্ডার+ওয়াল্ড+ের,আন্ডার,আন্ডারওয়াল্ড,False
আওতাধীন,আওতা+ধীন,আওতা,আওতাধীন,False
আপামর,আপামর,আপামর,আপামর,True
আপিল,আপিল,আপিল,আপিল,True
আপসহীনতার,আপস+হীন+তা+র,আপস,আপসহীনতা,False
আপনারাও,আপনা+রা+ও,আপনা,আপনারা,False
আরম্ভ,আরম্ভ,আরম্ভ,আরম্ভ,True
আর্তি,আর্ত+ি,আর্ত,আর্তি,False
আর্তনাদের,আর্ত+নাদ+ের,আর্ত,আর্তনা,False
আর্টসে,আর্টস+ে,আর্টস,আর্টস,True
